TidId,Start,Slut,Notat,EnhedsId,OprettelsesDato,Navn
25116,22-02-2007,24-02-2007,flytbar,274,18-02-2007,25 m2 Luksushytte
25118,04-05-2007,06-05-2007,flytbar,281,18-02-2007,25 m2 Luksushytte
25119,18-02-2007,20-02-2007,flytbar,144,18-02-2007,Elplads
25120,17-02-2007,05-03-2007,flytbar,148,18-02-2007,Elplads
25121,19-02-2007,22-02-2007,flytbar,42,18-02-2007,15 m2 4pers
25122,18-02-2007,21-02-2007,flytbar,140,19-02-2007,Elplads
25123,02-08-2007,04-08-2007,ikke flytbar,274,24-05-2005,25 m2 Luksushytte
25124,18-02-2007,22-02-2007,flytbar,142,10-01-2007,Elplads
25125,19-02-2007,26-02-2007,flytbar,143,19-02-2007,Elplads
25126,01-06-2007,03-06-2007,flytbar,58,19-02-2007,25 m2 Luksushytte
25127,19-02-2007,20-02-2007,flytbar,145,19-02-2007,Elplads
25138,19-02-2007,20-02-2007,flytbar,139,19-02-2007,Elplads
25139,01-03-2007,04-04-2007,flytbar,281,20-02-2007,25 m2 Luksushytte
25140,20-02-2007,21-02-2007,flytbar,35,20-02-2007,15 m2 4pers
25142,20-02-2007,23-02-2007,flytbar,36,20-02-2007,15 m2 4pers
25143,26-02-2007,02-03-2007,flytbar,35,15-02-2007,15 m2 4pers
25144,05-03-2007,09-03-2007,flytbar,45,15-02-2007,15 m2 4pers
25145,12-03-2007,16-03-2007,flytbar,45,15-02-2007,15 m2 4pers
25146,26-02-2007,27-02-2007,ikke flytbar,274,21-02-2007,25 m2 Luksushytte
25147,24-03-2007,25-03-2007,flytbar,274,21-02-2007,25 m2 Luksushytte
25148,05-04-2007,08-04-2007,flytbar,42,21-02-2007,15 m2 4pers
25149,25-02-2007,04-03-2007,flytbar,284,21-02-2007,25 m2 Luksushytte
25150,12-08-2007,17-08-2007,flytbar,57,23-01-2007,25 m2 Luksushytte
25151,17-03-2007,18-03-2007,flytbar,274,21-02-2007,25 m2 Luksushytte
25152,21-02-2007,25-02-2007,flytbar,147,15-02-2004,Elplads
25153,25-02-2007,01-03-2007,flytbar,281,21-02-2007,25 m2 Luksushytte
25154,25-02-2007,01-03-2007,flytbar,278,21-02-2007,25 m2 Luksushytte
25155,22-02-2007,25-02-2007,flytbar,140,21-02-2007,Elplads
25156,24-02-2007,25-02-2007,flytbar,36,21-02-2007,15 m2 4pers
25157,24-02-2007,25-02-2007,flytbar,35,21-02-2007,15 m2 4pers
25158,24-02-2007,25-02-2007,flytbar,42,21-02-2007,15 m2 4pers
25159,24-02-2007,25-02-2007,flytbar,43,21-02-2007,15 m2 4pers
25160,24-02-2007,25-02-2007,flytbar,274,21-02-2007,25 m2 Luksushytte
25161,24-02-2007,25-02-2007,flytbar,275,21-02-2007,25 m2 Luksushytte
25163,20-04-2007,21-04-2007,flytbar,286,22-02-2007,25 m2 Luksushytte
25164,07-06-2007,11-06-2007,flytbar,285,21-02-2007,25 m2 Luksushytte
25166,08-06-2007,11-06-2007,flytbar,279,21-02-2007,25 m2 Luksushytte
25170,09-08-2007,10-08-2007,flytbar,38,21-02-2007,15 m2 4pers
